Date,Division,Rank,School,Score,Location,Host
2024-10-05,A - Group I,1,Upper Dauphin Area High School,76.3,"Elizabethville, PA",@ Halifax Area High School
2024-10-05,A - Group I,1,Hanover Park High School,75.7,"East Hanover, NJ",@ Lenape Valley Regional High School
2024-10-05,A - Group I,1,Plymouth Whitemarsh High School,76.6,"Plymouth Meeting, PA",@ Marple Newtown High School
2024-10-05,A - Group I,1,Trinity High School,74.4,"Camp Hill, PA",@ Mechanicsburg Area Senior High School
2024-10-05,A - Group I,1,Hatboro-Horsham High School,69.9,Hatboro-Horsham,@ North Penn High School
2024-10-05,A - Group I,1,Matawan Regional High School,80.1,"Aberdeen, NJ",@ Old Bridge High School
2024-10-05,A - Group I,1,Hanover Park High School,80.3,"East Hanover, NJ",@ Pequannock Township High School
2024-10-05,A - Group I,1,Park Ridge Jr./Sr. High School,70.3,"Park Ridge, NJ",@ Ramsey High School
2024-10-05,A - Group I,1,Hammonton High School,81.7,"Hammonton, NJ",@ Seneca High School
2024-10-05,A - Group I,1,Lenape High School,73.75,"Medford, NJ",@ Shawnee High School
2024-10-05,A - Group I,1,Matawan Regional High School,76.1,"Aberdeen, NJ",@ South Brunswick High School
2024-10-05,A - Group I,1,Penn Wood High School,68.9,"Lansdowne, PA",@ Unionville High School
2024-10-05,A - Group I,2,Halifax High School,76.1,Halifax,@ Halifax Area High School
2024-10-05,A - Group I,2,Chichester High School,75.9,"Boothwyn, PA",@ Marple Newtown High School
2024-10-05,A - Group I,2,Heritage High School,74.3,"Leesburg, VA",@ Mechanicsburg Area Senior High School
2024-10-05,A - Group I,2,Monsignor Farrell High School,73.0,"Staten Island, NY",@ Old Bridge High School
2024-10-05,A - Group I,2,North Rockland High School,78.1,"Thiells, NY",@ Pequannock Township High School
2024-10-05,A - Group I,2,Palmyra High School,79.7,"Palmyra, NJ",@ Seneca High School
2024-10-05,A - Group I,2,Rancocas Valley Regional High School,73.51,"Mount Holly, NJ",@ Shawnee High School
2024-10-05,A - Group I,2,Monsignor Farrell High School,70.9,"Staten Island, NY",@ South Brunswick High School
2024-10-05,A - Group I,3,Louis E. Dieruff High School,73.0,"Allentown, PA",@ Halifax Area High School
2024-10-05,A - Group I,3,St. Mark's High School,73.2,"Wilmington, DE",@ Marple Newtown High School
2024-10-05,A - Group I,3,Halifax High School,74.2,Halifax,@ Mechanicsburg Area Senior High School
2024-10-05,A - Group I,3,Lenape High School,78.4,"Medford, NJ",@ Seneca High School
2024-10-05,A - Group I,3,Burlington City High School,73.01,"Burlington, NJ",@ Shawnee High School
2024-10-05,A - Group I,3,Pennsauken High School,67.4,"Pennsauken, NJ",@ South Brunswick High School
2024-10-05,A - Group I,4,Susquehanna Township High School,71.1,"Harrisburg, PA",@ Halifax Area High School
2024-10-05,A - Group I,4,Penn Wood High School,70.9,"Lansdowne, PA",@ Marple Newtown High School
2024-10-05,A - Group I,4,Louis E. Dieruff High School,71.0,"Allentown, PA",@ Mechanicsburg Area Senior High School
2024-10-05,A - Group I,4,Rancocas Valley Regional High School,77.0,"Mount Holly, NJ",@ Seneca High School
2024-10-05,A - Group I,5,Burlington City High School,75.9,"Burlington, NJ",@ Seneca High School
2024-10-05,A - Group II,1,Jordan Elbridge High School,76.8,"Jordan, NY",@ Auburn High School
2024-10-05,A - Group II,1,Delaware Valley Regional High School,73.1,"Frenchtown, NJ",@ Central Bucks South High School
2024-10-05,A - Group II,1,Hamilton High School West,78.6,"Hamilton, NJ",@ Hightstown High School
2024-10-05,A - Group II,1,Hackettstown High School,76.5,"Hackettstown, NJ",@ Lenape Valley Regional High School
2024-10-05,A - Group II,1,Council Rock North High School,78.1,"Newtown, PA",@ Marple Newtown High School
2024-10-05,A - Group II,1,East Pennsboro Area High School,76.3,"Enola, PA",@ Mechanicsburg Area Senior High School
2024-10-05,A - Group II,1,Passaic Valley High School,76.5,Passaic Valley,@ Pequannock Township High School
2024-10-05,A - Group II,1,Hackettstown High School,78.4,"Hackettstown, NJ",@ Ramsey High School
2024-10-05,A - Group II,1,Audubon High School,78.4,Audubon,@ Seneca High School
2024-10-05,A - Group II,1,Hamilton High School West,78.1,"Hamilton, NJ",@ Shawnee High School
2024-10-05,A - Group II,1,Immaculata High School,86.3,"Somerville, NJ",@ Somerville High School
2024-10-05,A - Group II,1,Immaculata High School,83.5,"Somerville, NJ",@ South Brunswick High School
2024-10-05,A - Group II,1,West Chester East High School,78.5,"West Chester, PA",@ Unionville High School
2024-10-05,A - Group II,2,Colonia High School,77.1,"Colonia, NJ",@ Hightstown High School
2024-10-05,A - Group II,2,William Tennent High School,77.0,"Warminster, PA",@ Marple Newtown High School
2024-10-05,A - Group II,2,Susquenita High School,71.9,"Duncannon, PA",@ Mechanicsburg Area Senior High School
2024-10-05,A - Group II,2,Midland Park High School,74.9,"Midland Park, NJ",@ Ramsey High School
2024-10-05,A - Group II,2,Lindenwold High School,66.8,"Lindenwold, NJ",@ Shawnee High School
2024-10-05,A - Group II,2,Delaware Valley Regional High School,77.8,"Frenchtown, NJ",@ Somerville High School
2024-10-05,A - Group II,2,Nottingham High School,78.4,"Hamilton, NJ",@ South Brunswick High School
2024-10-05,A - Group II,2,William Penn High School,74.4,"New Castle, DE",@ Unionville High School
2024-10-05,A - Group II,3,Oceanside High School,74.3,"Oceanside, NY",@ Hightstown High School
2024-10-05,A - Group III,1,Phoenix High School,83.4,"Phoenix, NY",@ Auburn High School
2024-10-05,A - Group III,1,Upper Dublin High School,76.0,"Fort Washington, PA",@ Central Bucks South High School
2024-10-05,A - Group III,1,Jackson Memorial High School,82.7,"Jackson, NJ",@ Hightstown High School
2024-10-05,A - Group III,1,Vernon Township High School,81.1,"Vernon, NJ",@ Lenape Valley Regional High School
2024-10-05,A - Group III,1,Bensalem High School,77.4,"Bensalem, PA",@ Marple Newtown High School
2024-10-05,A - Group III,1,Camp Hill High School,83.5,"Camp Hill, PA",@ Mechanicsburg Area Senior High School
2024-10-05,A - Group III,1,Central Bucks East High School,81.5,Central Bucks East,@ North Penn High School
2024-10-05,A - Group III,1,Middletown High School North,76.6,"Middletown, NJ",@ Old Bridge High School
2024-10-05,A - Group III,1,Nutley High School,82.0,"Nutley, NJ",@ Pequannock Township High School
2024-10-05,A - Group III,1,Vernon Township High School,79.6,"Vernon, NJ",@ Ramsey High School
2024-10-05,A - Group III,1,Deptford High School,78.7,"Deptford, NJ",@ Seneca High School
2024-10-05,A - Group III,1,Jackson Memorial High School,80.6,"Jackson, NJ",@ Shawnee High School
2024-10-05,A - Group III,1,Nutley High School,84.3,"Nutley, NJ",@ Somerville High School
2024-10-05,A - Group III,1,Long Branch High School,75.5,"Long Branch, NJ",@ South Brunswick High School
2024-10-05,A - Group III,1,Marple Newtown High School,78.4,"Newtown Square, PA",@ Unionville High School
2024-10-05,A - Group III,1,Lakeland Regional High School,70.3,"Wanaque, NJ",@ West Milford High School
2024-10-05,A - Group III,2,Le Roy Jr./Sr. High School,75.6,Le Roy Jr./Sr.,@ Auburn High School
2024-10-05,A - Group III,2,Hopewell Valley Central High School,73.0,"Pennington, NJ",@ Central Bucks South High School
2024-10-05,A - Group III,2,Steinert High School,81.9,"Hamilton, NJ",@ Hightstown High School
2024-10-05,A - Group III,2,Central Dauphin High School,79.5,"Harrisburg, PA",@ Mechanicsburg Area Senior High School
2024-10-05,A - Group III,2,Souderton Area High School,79.2,"Souderton, PA",@ North Penn High School
2024-10-05,A - Group III,2,Garden City High School,78.2,"Garden City, NY",@ Pequannock Township High School
2024-10-05,A - Group III,2,Northern Valley Regional High School at Demarest,75.6,Northern Valley Regional  at Demarest,@ Ramsey High School
2024-10-05,A - Group III,2,Warren Hills Regional High School,81.9,"Washington, NJ",@ Somerville High School
2024-10-05,A - Group III,2,Avon Grove High School,77.8,"West Grove, PA",@ Unionville High School
2024-10-05,A - Group III,2,Parsippany High School,70.2,"Parsippany, NJ",@ West Milford High School
2024-10-05,A - Group III,3,Auburn High School (NY),74.5,Auburn  (NY),@ Auburn High School
2024-10-05,A - Group III,3,Pleasant Valley High School,72.5,"Brodheadsville, PA",@ Central Bucks South High School
