Division,Rank,School,Score,Location
A - Group I,1st,Matawan Regional High School,92.4,"Aberdeen, NJ"
A - Group I,2nd,Matawan Regional High School,89.6,"Aberdeen, NJ"
A - Group I,3rd,Hanover Park High School,89.3,"East Hanover, NJ"
A - Group I,4th,North Rockland High School,87.8,"Thiells, NY"
A - Group I,5th,Lenape High School,87.4,"Medford, NJ"
A - Group I,6th,Hanover Park High School,86.3,"East Hanover, NJ"
A - Group I,7th,Burlington City High School,85.6,"Burlington, NJ"
A - Group I,8th,Pennsauken High School,85.4,"Pennsauken, NJ"
A - Group I,9th,Upper Dauphin Area High School,84.8,"Elizabethville, PA"
A - Group I,10th,Monsignor Farrell High School,83.4,"Staten Island, NY"
A - Group I,11th,Rancocas Valley Regional High School,83.1,"Mount Holly, NJ"
A - Group I,12th,North Rockland High School,82.7,"Thiells, NY"
A - Group I,13th,Lenape High School,82.5,"Medford, NJ"
A - Group I,14th,Halifax High School,82.4,Halifax
A - Group I,15th,Pen Argyl High School,82.0,"Pen Argyl, PA"
A - Group I,16th,Trinity High School,81.7,"Camp Hill, PA"
A - Group I,17th,Monsignor Farrell High School,81.6,"Staten Island, NY"
A - Group I,18th,Upper Dauphin Area High School,81.2,"Elizabethville, PA"
A - Group I,19th,Trinity High School,80.7,"Camp Hill, PA"
A - Group I,20th,Burlington City High School,79.6,"Burlington, NJ"
A - Group I,21st,Louis E. Dieruff High School,79.5,"Allentown, PA"
A - Group I,22nd,Coatesville Area High School,78.0,Coatesville Area
A - Group I,23rd,High Point Regional HS,77.7,Unknown Location
A - Group I,24th,Newton High School,76.4,"Newton, NJ"
A - Group I,25th,Chichester High School,75.6,"Boothwyn, PA"
A - Group I,26th,Susquehanna Township High School,75.5,"Harrisburg, PA"
A - Group I,27th,Wissahickon High School,75.0,"Ambler, PA"
A - Group I,28th,Penn Wood High School,74.5,"Lansdowne, PA"
A - Group I,29th,Wissahickon High School,73.6,"Ambler, PA"
A - Group I,30th,St. Mark's High School,73.2,"Wilmington, DE"
A - Group II,1st,Immaculata High School,94.7,"Somerville, NJ"
A - Group II,2nd,Immaculata High School,92.7,"Somerville, NJ"
A - Group II,3rd,Hackettstown High School,92.3,"Hackettstown, NJ"
A - Group II,4th,Hamilton High School West,89.9,"Hamilton, NJ"
A - Group II,5th,Central Dauphin East High School,88.7,"Harrisburg, PA"
A - Group II,6th,Oceanside High School,87.5,"Oceanside, NY"
A - Group II,7th,Nottingham High School,86.8,"Hamilton, NJ"
A - Group II,8th,Central Dauphin East High School,86.7,"Harrisburg, PA"
A - Group II,9th,Hackettstown High School,86.2,"Hackettstown, NJ"
A - Group II,10th,Delaware Valley Regional High School,86.1,"Frenchtown, NJ"
A - Group II,11th,Audubon Jr./Sr. High School,85.8,"Audubon, NJ"
A - Group II,12th,Hamilton High School West,85.5,"Hamilton, NJ"
A - Group II,13th,Council Rock North High School,85.3,"Newtown, PA"
A - Group II,14th,Delaware Valley Regional High School,84.4,"Frenchtown, NJ"
A - Group II,15th,Colonia High School,84.3,"Colonia, NJ"
A - Group II,15th,West Chester East High School,84.3,"West Chester, PA"
A - Group II,17th,Audubon Jr./Sr. High School,83.9,"Audubon, NJ"
A - Group II,18th,Passaic Valley High School,83.5,Passaic Valley
A - Group II,18th,Oceanside High School,83.5,"Oceanside, NY"
A - Group II,20th,Nottingham High School,83.1,"Hamilton, NJ"
A - Group II,20th,B. Reed Henderson High School,83.1,"West Chester, PA"
A - Group II,22nd,Northern Hunterdon High School,82.3,Northern Hunterdon
A - Group II,22nd,William Penn High School,82.3,"New Castle, DE"
A - Group II,24th,Oceanside High School,82.2,"Oceanside, NY"
A - Group II,24th,William Tennent High School,82.2,"Warminster, PA"
A - Group II,26th,Suffern High School,81.7,"Suffern, NY"
A - Group II,27th,West Chester East High School,80.2,"West Chester, PA"
A - Group II,28th,Passaic Valley High School,79.6,Passaic Valley
A - Group II,29th,William Tennent High School,79.2,"Warminster, PA"
A - Group II,30th,Newark High School,78.2,"Newark, DE"
A - Group II,31st,Ridley High School,77.3,"Folsom, PA"
A - Group II,32nd,Wallkill Valley Regional High School,77.1,Wallkill Valley Regional
A - Group II,33rd,Suffern High School,74.9,"Suffern, NY"
A - Group III,1st,Nutley High School,93.1,"Nutley, NJ"
A - Group III,2nd,Avon Grove High School,92.7,"West Grove, PA"
A - Group III,3rd,Camp Hill High School,92.5,"Camp Hill, PA"
A - Group III,4th,Morris Knolls High School,92.3,"Rockaway, NJ"
A - Group III,5th,Camp Hill High School,91.3,"Camp Hill, PA"
A - Group III,6th,Jackson Memorial High School,91.2,"Jackson, NJ"
A - Group III,7th,Kittatinny Regional High School,90.9,"Newton, NJ"
A - Group III,8th,Warren Hills Regional High School,89.9,"Washington, NJ"
A - Group III,9th,Central Bucks East High School,89.8,Central Bucks East
A - Group III,10th,Garden City High School,89.3,"Garden City, NY"
A - Group III,11th,Steinert High School,88.9,"Hamilton, NJ"
A - Group III,12th,Morris Knolls High School,88.7,"Rockaway, NJ"
A - Group III,13th,Avon Grove High School,88.1,"West Grove, PA"
A - Group III,14th,Nutley High School,87.8,"Nutley, NJ"
A - Group III,15th,Warren Hills Regional High School,87.6,"Washington, NJ"
A - Group III,15th,Jackson Liberty High School,87.6,"Jackson, NJ"
A - Group III,15th,Central Dauphin High School,87.6,"Harrisburg, PA"
A - Group III,18th,Jackson Memorial High School,87.1,"Jackson, NJ"
A - Group III,19th,Souderton Area High School,87.0,"Souderton, PA"
A - Group III,20th,Vernon Township High School,86.4,"Vernon, NJ"
A - Group III,21st,Steinert High School,86.2,"Hamilton, NJ"
A - Group III,22nd,Central Bucks East High School,86.0,Central Bucks East
A - Group III,22nd,Marple Newtown High School,86.0,"Newtown Square, PA"
A - Group III,24th,Northern Valley Regional High School at Demarest,85.6,Northern Valley Regional  at Demarest
A - Group III,25th,Long Branch High School,85.4,"Long Branch, NJ"
